game_str,timestamp_x,play_id,player_position,field_x,field_y,plot_x,plot_y,Unnamed: 0,at_bat,play_per_game,timestamp_y,event_code,result,reqd timestamp
1903_31_TeamNB_TeamA1,823292,25,6,-12.9504,135.6867,-0.044606933333333335,0.4673653,112,8,25,825792,2,"""",
1902_16_TeamMD_TeamA2,1565423,49,6,-27.0381,136.2297,-0.09313123333333333,0.46923563333333335,185,14,49,1567873,2,"""",
1902_12_TeamMI_TeamA3,1942204,61,4,24.3624,142.6614,0.08391493333333333,0.4913892666666666,232,17,61,1944504,2,"""",
1903_30_TeamNF_TeamA2,2209197,77,4,18.312,141.8379,0.06307466666666667,0.48855276666666664,286,19,77,2211547,2,"""",
1902_23_TeamMA_TeamA1,2460888,80,6,14.0421,138.5706,0.04836723333333333,0.4772987333333334,299,20,80,2463238,2,"""",
1903_05_TeamND_TeamA2,3321962,114,6,-21.1158,148.1283,-0.0727322,0.5102196999999999,413,26,114,3324362,2,"""",
1903_23_TeamNA_TeamA1,4332094,137,4,19.353,143.8206,0.06666033333333334,0.49538206666666673,522,37,141,4334644,2,"""",
1902_17_TeamMB_TeamA1,6501318,184,4,25.2819,134.6643,0.0870821,0.46384369999999997,766,50,185,6503768,2,"""",
1903_30_TeamNF_TeamA2,6083297,195,6,-16.6464,136.5468,-0.0573376,0.47032786666666665,744,49,195,6085647,2,"""",
1902_16_TeamMD_TeamA2,6674266,198,6,-11.9175,138.6285,-0.04104916666666667,0.47749816666666667,753,52,198,6676816,2,"""",
1902_08_TeamMJ_TeamB,8460894,222,4,5.0373,148.4505,0.0173507,0.5113295,851,56,222,8463344,2,"""",
1902_08_TeamMJ_TeamB,14179505,369,6,-24.2517,131.4378,-0.08353363333333333,0.4527302,1422,99,369,14183305,2,"""",
